Cylinder Analysis in LS-Dyna,Resultant Force
X-displacement,A1,
    1.6084049988e+02,    1.9634555817e+01,
    1.6133987427e+02,    1.9180269241e+01,
    1.6183926392e+02,    1.8665578842e+01,
    1.6233886719e+02,    1.8341264725e+01,
    1.6283857727e+02,    1.8110603333e+01,
    1.6333813477e+02,    1.8724651337e+01,
    1.6383761597e+02,    1.9750520706e+01,
    1.6433694458e+02,    1.9906642914e+01,
    1.6483622742e+02,    1.9623117447e+01,
    1.6533586121e+02,    1.8787675858e+01,
    1.6583566284e+02,    1.7680677414e+01,
    1.6633520508e+02,    1.8104045868e+01,
    1.6683460999e+02,    1.9301132202e+01,
    1.6733383179e+02,    1.9603454590e+01,
    1.6783294678e+02,    1.9457424164e+01,
    1.6833250427e+02,    1.9375326157e+01,
    1.6883226013e+02,    1.9326143265e+01,
    1.6933189392e+02,    1.9293502808e+01,
    1.6983146667e+02,    1.9269380569e+01,
    1.7033102417e+02,    1.9072330475e+01,
    1.7083059692e+02,    1.8783031464e+01,
    1.7132984924e+02,    1.8911783218e+01,
    1.7182893372e+02,    1.9257698059e+01,
    1.7232843018e+02,    1.9332283020e+01,
    1.7282810974e+02,    1.9264652252e+01,
    1.7332763672e+02,    1.9105943680e+01,
    1.7382708740e+02,    1.8897783279e+01,
    1.7432644653e+02,    1.8840095520e+01,
    1.7482577515e+02,    1.8864116669e+01,
    1.7532539368e+02,    1.8934425354e+01,
    1.7582516479e+02,    1.9030094147e+01,
    1.7632469177e+02,    1.9340848923e+01,
    1.7682409668e+02,    1.9768421173e+01,
    1.7732356262e+02,    2.0123580933e+01,
    1.7782305908e+02,    2.0438364029e+01,
    1.7832244873e+02,    2.0273349762e+01,
    1.7882177734e+02,    1.9836099625e+01,
    1.7932147217e+02,    1.9351316452e+01,
    1.7982138062e+02,    1.8839324951e+01,
    1.8032098389e+02,    1.8779464722e+01,
    1.8082044983e+02,    1.8976182938e+01,
    1.8131994629e+02,    1.8948463440e+01,
    1.8181948853e+02,    1.8793380737e+01,
    1.8231896973e+02,    1.8685190201e+01,
    1.8281842041e+02,    1.8604078293e+01,
    1.8331790161e+02,    1.8437273026e+01,
    1.8381739807e+02,    1.8220556259e+01,
    1.8431684875e+02,    1.8303136826e+01,
    1.8481628418e+02,    1.8560071945e+01,
    1.8531568909e+02,    1.8486764908e+01,
    1.8581504822e+02,    1.8212665558e+01,
    1.8631455994e+02,    1.8282104492e+01,
    1.8681414795e+02,    1.8558660507e+01,
    1.8731369019e+02,    1.8684057236e+01,
    1.8781321716e+02,    1.8719854355e+01,
    1.8831269836e+02,    1.8407495499e+01,
    1.8881217957e+02,    1.7883420944e+01,
    1.8931170654e+02,    1.7939746857e+01,
    1.8981124878e+02,    1.8355075836e+01,
    1.9031083679e+02,    1.8731969833e+01,
    1.9081044006e+02,    1.9084682465e+01,
    1.9130989075e+02,    1.9121988297e+01,
    1.9180924988e+02,    1.8959135056e+01,
    1.9230880737e+02,    1.8552442551e+01,
    1.9280848694e+02,    1.7992321014e+01,
    1.9330776978e+02,    1.7925313950e+01,
    1.9380680847e+02,    1.8179267883e+01,
    1.9430622864e+02,    1.8533931732e+01,
    1.9480587769e+02,    1.8954145432e+01,
    1.9530543518e+02,    1.9075632095e+01,
    1.9580494690e+02,    1.9004295349e+01,
    1.9630441284e+02,    1.8786735535e+01,
